"Date","Country","Latitude","Lab","LabNo","Area","AreaNum","Notes","pH","OM360","TECM3","PM3","KM3","CaM3","MgM3","NaM3","SM3","Cl","EC12","BM3","FeM3","MnM3","CuM3","ZnM3","AlM3","PB2","PO","NO3N","NH4N"
2014-05-14,"US",47.2,"Brookside","0656-1","g","18","fine fescue/colonial bent",6,0.28,8.43,22,192,1062,92,32,6,10.9,0.02,NA,140,18,1.19,0.86,401,75,6,0.8,2.1
2014-05-14,"US",47.2,"Brookside","0654-1","g","05","fine fescue/colonial bent",6.3,0.31,8.62,25,196,1157,102,32,6,NA,0.02,NA,136,18,1.25,0.91,419,92,7,0.9,1.5
2015-10-21,"US",42.45,"Brookside","0574-1","o","01","tall fescue",6.7,2.5,6.53,60,119,904,121,23,11,11.06,0.07,0.36,191,40,1.25,4.55,604,72,10,6.8,1.8
2015-10-21,"US",42.45,"Brookside","0575-1","f","02","bent/poa",7.5,1.79,5.85,65,34,1012,48,17,12,4.62,0.07,0.48,224,63,1.81,1.56,390,70,10,2.8,1
2015-10-21,"US",42.45,"Brookside","0576-1","g","03","bent/poa",8.1,0.92,64.37,10,26,12128,173,22,10,3.72,0.04,0.48,79,59,1.5,2.07,4,7,10,NA,NA
2013-10-28,"CA",43.54,"Brookside","0322-1","g","17","poa bent",7.4,0.52,1.75,52,30,223,44,28,5,2.06,0.02,NA,74,14,1.43,3.86,220,74,11,1.9,3
2013-10-28,"CA",43.54,"Brookside","0321-1","g","10","poa bent",7.5,3.22,14.67,91,107,2451,150,74,12,8.37,0.12,0.83,184,23,6.65,29.04,278,261,17,6.7,3.7
2013-10-28,"CA",43.54,"Brookside","0320-1","g","04","poa bent",8.1,2.08,15.16,58,73,2623,123,77,12,5.31,0.08,0.8,125,30,3.85,21.84,149,102,12,3.5,3
2014-05-07,"US",36.58,"Brookside","0171-1","g","05","poa",6.9,2.07,8.98,127,134,1345,124,79,35,22.27,0.13,0.72,271,119,2.68,31.37,122,125,23,7.6,2.4
2014-05-07,"US",36.58,"Brookside","0172-1","g","14","poa",6.8,1.64,7.67,97,108,1100,117,77,30,28.57,0.1,0.64,238,110,2.24,28.89,112,96,16,5.9,1.1
2014-05-07,"US",36.58,"Brookside","0173-1","f","02","poa/bent",7.2,6.53,16.17,185,248,2458,206,196,34,50.97,0.31,2.03,206,21,1.16,33.61,89,276,38,11.4,NA
2013-10-21,"US",43.5,"Brookside","0139-1","g","01","bent poa",6.4,2.71,4.21,154,92,447,120,34,12,4.62,0.07,0.32,281,22,3.03,9.26,521,263,39,2.5,5.2
2013-10-21,"US",43.5,"Brookside","0140-1","g","07","bent poa",5.8,2.36,3.77,181,85,356,74,33,19,4.64,0.08,0.31,355,17,3.1,8.12,463,255,52,1.6,6.3
2013-10-21,"US",43.5,"Brookside","0141-1","g","10","bent poa",5.9,2.32,3.55,205,82,361,65,35,16,4.51,0.06,0.46,317,22,5.98,9.21,591,336,64,1.6,5.5
2013-10-23,"US",39.8,"Brookside","0232-1","f","17","bent",6.7,3.8,5.92,17,103,776,133,29,12,8.78,0.09,0.37,126,68,2.54,2.49,762,26,7,5.6,5.2
2013-10-23,"US",39.8,"Brookside","0231-1","g","18","bent",6.8,0.82,2.11,32,27,314,26,22,7,5.33,0.03,NA,67,39,3.38,11.84,130,28,8,1.6,5.2
2013-10-23,"US",39.8,"Brookside","0233-1","t","10","bent",6.7,3.71,6.2,104,81,854,119,37,10,8.85,0.09,0.46,198,54,3.19,5.82,598,122,17,5.2,4.9
2014-05-07,"CA",56.71,"Brookside","0169-1","g","10","poa/bent",7.6,1.12,11.72,135,49,2018,113,28,14,4.75,0.1,0.55,338,22,1.55,10.9,62,142,32,5.6,1.3
2014-05-07,"CA",56.71,"Brookside","0168-1","g","15","poa/bent",7.5,0.49,7.44,144,59,1183,116,27,11,2.21,0.08,0.59,344,31,1.74,11.12,87,152,31,7.2,1.3
2014-05-07,"CA",56.71,"Brookside","0170-1","g","03","poa/bent",7.5,1.46,11.21,159,69,1872,134,27,15,3.42,0.1,0.7,414,21,1.71,13.43,48,171,32,4.9,1.3
2015-03-20,"DE",53.15,"Brookside","0017-1","g","09","bent/poa",6.2,1.74,4.03,33,55,543,44,26,9,12.42,0.04,NA,201,28,5.98,8.46,135,38,10,1.8,NA
2015-03-20,"DE",53.15,"Brookside","0018-1","g","10","bent/poa",6.3,1.51,3.53,29,37,496,38,21,7,7.81,0.05,NA,188,19,3.66,5.41,112,35,12,2.5,NA
2015-03-20,"DE",53.15,"Brookside","0016-1","g","08","bent/poa",6.1,1.58,3.38,25,41,451,36,20,8,4.77,0.04,NA,159,20,3.55,5.43,116,28,9,1.7,NA
2015-08-25,"IS",64.06,"Brookside","0549-1","t","03","fescue poa",5.7,8.36,8.44,97,55,784,161,116,58,37.6,0.15,0.54,530,17,4.77,4.78,1440,141,65,2.5,12
2015-08-25,"IS",64.06,"Brookside","0548-1","g","09","fesce poa",7,2.97,9.6,27,108,1493,131,79,42,15.98,0.13,0.54,350,40,5.64,1.85,1030,53,10,1.1,5.5
2015-08-25,"IS",64.06,"Brookside","0550-1","f","17","fescue poa rye",6,4.98,7.08,91,30,869,111,66,18,8.4,0.05,0.57,373,7,2.19,4.68,1222,103,33,1.1,3.7
2014-11-19,"FI",60.21,"Brookside","0376-1","g","05","poa/bent",6.7,1.6,3.26,106,65,470,40,26,13,7.99,0.05,0.28,176,20,7.86,8.76,314,132,20,1.7,NA
2014-11-19,"FI",60.21,"Brookside","0375-1","g","03","poa/bent",6.4,1.48,3.25,106,65,428,38,40,14,7.21,0.04,0.21,165,22,7.92,6.97,347,117,22,1.5,NA
2015-11-03,"FI",60.21,"Brookside","0523-1","g","06","POA/BENT",6.8,0.8,3.32,91,61,470,49,36,10,3.79,0.04,0.29,208,31,8.62,8.13,407,101,19,0.6,0.9
2015-11-03,"FI",60.21,"Brookside","0485-1","g","05","POA/BENT",6.5,1.41,4.43,160,68,617,54,39,11,4.48,0.03,0.51,360,19,13.33,11.57,426,166,35,0.9,0.8
2014-11-19,"FI",60.21,"Brookside","0374-1","g","01","poa/bent",6.6,1.29,3.34,111,57,477,35,36,16,7.39,0.05,0.28,178,24,9.18,7.49,354,138,25,1.3,0.7
2014-11-19,"FI",60.21,"Brookside","0372-1","g","11","poa/bent",7.2,1.14,3.42,55,69,527,42,26,14,6.22,0.04,0.21,137,10,0.96,5.79,382,67,9,NA,0.8
2014-11-19,"FI",60.21,"Brookside","0373-1","g","16","poa/bent",6.4,1.19,3.88,117,73,530,43,33,18,8.69,0.04,0.23,204,25,9.96,12.45,395,144,19,1,0.9
2015-11-03,"FI",60.21,"Brookside","0505-1","g","RP","POA/CRPB",6.4,1.07,3.82,96,83,501,47,40,12,5.39,0.03,0.41,253,26,7.57,9.77,461,93,17,0.8,0.8
2015-11-03,"FI",60.21,"Brookside","0484-1","g","03","POA/BENT",6.6,0.98,3.21,93,52,456,37,33,8,4.63,0.03,0.34,160,28,8.66,11.27,574,99,21,0.6,1.4
2015-11-03,"FI",60.21,"Brookside","0503-1","g","11","CRBNT/PO",7.1,0.93,3.78,64,76,585,43,33,10,3.21,0.03,0.36,226,11,1.13,12.95,421,61,7,NA,1.4
2015-11-03,"FI",60.21,"Brookside","0525-1","g","13","POA/BENT",6.7,0.91,2.62,80,51,359,36,35,9,5.02,0.05,0.32,167,20,5.49,4.72,315,99,26,0.6,0.6
2014-11-19,"FI",60.21,"Brookside","0371-1","g","07","poa/bent",5.2,1.38,3.32,33,57,255,23,41,15,4.96,0.05,NA,126,6,2.61,1.69,370,45,9,0.6,1.5
2015-11-03,"FI",60.21,"Brookside","0524-1","g","07","BENT;POA",5.7,1.1,2.07,21,38,205,25,27,7,3.64,0.01,0.2,115,4,1.87,1.22,302,20,7,NA,1.4
2015-11-03,"FI",60.21,"Brookside","0483-1","g","01","POA/BENT",6.2,0.61,2.57,131,58,316,31,33,11,4,0.02,0.3,182,35,9.64,5.12,651,105,29,NA,2
2015-11-03,"FI",60.21,"Brookside","0504-1","g","16","POA/CRPB",6.7,0.84,4.07,172,75,583,48,43,16,6.83,0.03,0.36,239,40,12.17,8.35,657,118,25,NA,0.9
2015-03-25,"US",39.4,"Brookside","0411-1","g","09","bent",7,0.81,1.83,80,24,240,50,16,6,5,0.03,NA,141,45,2.41,10.27,129,68,11,NA,2.1
2015-03-25,"US",39.4,"Brookside","0413-1","f","17","bent",6.9,2.33,4.68,100,40,676,95,28,12,7.82,0.05,0.38,251,32,2.91,9.89,365,115,20,0.7,2.7
2015-03-25,"US",39.4,"Brookside","0412-1","t","09","bent",7.3,1.18,2.55,33,29,301,93,20,6,5.99,0.03,NA,99,15,2.05,5.2,125,28,7,NA,1.6
